CRN,Course #,Course Title,Units,type,Days,Time,Bldg/Rm,Start-End,Instructor
35324,COGS-151-01,Speech Processing,4,LECT,TR,1:30-2:45pm,CLSSRM 286,13-DEC 13-DEC,"Warlaumont, Anne"
34985,COGS-152-02,Service Science,4,LECT,TR,4:30-5:45pm,CLSSRM 279,28-AUG 12-DEC,"Maglio, Paul"
35262,COGS-161-01,Experimental Philosophy,4,LECT,TR,1:30-2:45pm,CLSSRM 286,28-AUG 12-DEC,"Jennings, Carolyn"
30351,COGS-180-01,"Mind, Brain and Identity",4,LECT,TR,3:00-4:15pm,SSM 150,15-DEC 15-DEC,"Pageler, Ben"
31494,COGS-180-03,Mathematical Cognition,4,LECT,TR,3:00-4:15pm,SSB 170,28-AUG 12-DEC,"Winter, Bodo"
30352,COGS-201-01,CogSci Foundations 1,4,SEM,MWF,12:30-1:20pm,SSM 104,19-DEC 19-DEC,"Spivey, Michael"
30353,COGS-250-01,Cognitive Science Grad Seminar,4,SEM,M,2:30-5:20pm,SCIENG 100,28-AUG 12-DEC,"Matlock, Teenie"
35325,COGS-251-01,Speech Processing,4,LECT,TR,1:30-2:45pm,SCIENG 100,28-AUG 12-DEC,"Warlaumont, Anne"
30001,CORE-001-01,The World at HomeMust Also Register for a Corresponding Discussion,0,LECT,F,3:30-5:20pm,KOLLIG 217,13-DEC 13-DEC,"Van Breugel, Wil"
30003,CORE-001-02D,The World at Home,4,DISC,TR,8:00-9:15am,SSM 154,28-AUG 12-DEC,"Winek, Angela"
30004,CORE-001-03D,The World at Home,4,DISC,TR,12:30-1:45pm,CLSSRM 127,16-DEC 16-DEC,"Gingold, Pamelyn"
30005,CORE-001-04D,The World at Home,4,DISC,TR,2:00-3:15pm,CLSSRM 102,28-AUG 12-DEC,"Gingold, Pamelyn"
30006,CORE-001-05D,The World at Home,4,DISC,TR,3:30-4:45pm,CLSSRM 265,17-DEC 17-DEC,"Abuan, Mariana"
30007,CORE-001-06D,The World at Home,4,DISC,TR,5:00-6:15pm,CLSSRM 105,28-AUG 12-DEC,"Bultena, John"
30008,CORE-001-07D,The World at Home,4,DISC,TR,6:30-7:45pm,SSM 104,28-AUG 12-DEC,"Bultena, John"
30009,CORE-001-08D,The World at Home,4,DISC,TR,9:30-10:45am,,28-AUG 12-DEC,"Lambert, Robert"
30010,CORE-001-09D,The World at Home,4,DISC,MW,8:00-9:15am,CLSSRM 272,18-DEC 18-DEC,"Lambert, Robert"
30011,CORE-001-10D,The World at Home,4,DISC,MW,9:30-10:45am,CLSSRM 105,18-DEC 18-DEC,"Lambert, Robert"
30012,CORE-001-11D,The World at Home,4,DISC,MW,11:00-12:15pm,CLSSRM 129,28-AUG 12-DEC,"Winek, Angela"
31052,CORE-001-12D,The World at Home,4,DISC,MW,12:30-1:45pm,SSM 154,28-AUG 12-DEC,"Perry, Nathan"
31053,CORE-001-13D,The World at Home,4,DISC,MW,2:00-3:15pm,CLSSRM 102,28-AUG 12-DEC,"Wilson, Jane"
31321,CORE-001-14D,The World at Home,4,DISC,TR,7:30-8:45pm,CLSSRM 264,28-AUG 12-DEC,"Pageler, Ben"
30002,CORE-001-20,The World at HomeMust Also Register for a Corresponding Discussion,0,LECT,R,11:30-12:20pm,CLSSRM 264,28-AUG 12-DEC,"Van Breugel, Wil"
30013,CORE-001-21D,The World at Home,4,DISC,MW,8:00-9:15am,CLSSRM 264,28-AUG 12-DEC,"Lanser, Heather"
30014,CORE-001-22D,The World at Home,4,DISC,MW,9:30-10:45am,CLSSRM 264,28-AUG 12-DEC,"Lanser, Heather"
30015,CORE-001-23D,The World at Home,4,DISC,MW,11:00-12:15pm,,16-DEC 16-DEC,"Wilson, Jane"
30016,CORE-001-24D,The World at Home,4,DISC,MW,12:30-1:45pm,CLSSRM 264,28-AUG 12-DEC,"Toconis, Michelle"
